Parent High Court,Bar,Service,Total
Allahabad,6.0,10.0,16.0
Andhra Pradesh,4.0,3.0,7.0
Bombay,7.0,7.0,14.0
Calcutta,6.0,4.0,10.0
Chhattisgarh,0.0,2.0,2.0
Delhi,9.0,13.0,22.0
Gauhati,1.0,2.0,3.0
Gujarat,5.0,4.0,9.0
Himachal Pradesh,4.0,0.0,4.0
J&K and Ladakh,1.0,0.0,1.0
Jharkhand,2.0,0.0,2.0
Karnataka,3.0,8.0,11.0
Kerala,2.0,6.0,8.0
Madhya Pradesh,2.0,4.0,6.0
Madras,6.0,13.0,19.0
Orissa,3.0,0.0,3.0
Patna,7.0,0.0,7.0
Punjab and Haryana,1.0,3.0,4.0
Sikkim,0.0,1.0,1.0
